Song,Artist,Link,Year,Month,Count/Month
Without You,Oh Wonder ,rrJtqh80rTQ,2021,Sep,5
Bloom (Online Bonus Track),The Paper Kites ,jNigkCwFquQ,2021,Sep,1
Size Too Small,Sufjan Stevens ,9AU_zZjvGy0,2021,Sep,1
Sit Down Beside Me,Patrick Watson ,zgwdQVHpAR0,2021,Sep,1
Silvery,Novo Amor ,LZkTzEX1joU,2021,Sep,1
The Predatory Wasp of The Palisades Is Out To Get Us,Sufjan Stevens ,KBse9Y6zucs,2021,Sep,1
Love,Lana Del Rey ,RB3Wjz_VzG4,2021,Sep,2
Holland,Sufjan Stevens ,djWzoxzE5u8,2021,Sep,1
Love Yourself,Sufjan Stevens ,aPDMrRrOnD0,2021,Sep,1
Montreal,Roosevelt ,1Fuf7IkZj0Y,2021,Sep,4
Chillin',Modjo ,hYeqlUgZuwQ,2021,Sep,1
Overnight,Parcels ,tDcA7m8IyNk,2021,Sep,2
Prayer in C (Robin Schulz Radio Edit),Robin Schulz ,aczouaO5L_k,2021,Sep,1
Sweater Weather,The Neighbourhood ,cULQhvuq1Zc,2021,Sep,5
Warned You,Good Morning ,iNGfYnyv9BU,2021,Sep,1
Care For You,The Marías ,UYqv0-sKsWw,2021,Sep,4
Don't Come Home Today,Good Morning ,ISoQNcYfLKg,2021,Sep,2
In a Mood,TheSecondSex ,qafSZZl0_tY,2021,Sep,4
Changin',TheSecondSex ,_ykuYOXVPds,2021,Sep,1
Waiting for You,Michael Seyer ,iftjw3r_QOw,2021,Sep,1
Only in My Dreams,The Marías ,HnXzzTIFu_U,2021,Sep,6
Once You Know,Good Morning ,GtC_YsUj7nA,2021,Sep,1
Pride,Brahny ,TLRoz3Qmbwc,2021,Sep,5
Lucky Love,Michael Seyer ,M_nk5xth_AU,2021,Sep,9
Pumped Up Kicks,Foster the People ,rnO-MflYxCw,2021,Sep,4
Baby I'm Yours,Breakbot ,3vVSBLkpO-8,2021,Sep,2
Flutes,Hot Chip ,4NsUuTJ-5kQ,2021,Sep,3
Nowhere To Go,Nite Jewel ,jiUgpdYcbjs,2021,Sep,3
Change Of Coast,Neon Indian ,vLYj6soSgjk,2021,Sep,4
When You're Out,Kauf ,kqWmSqwgvVU,2021,Sep,3
Shine a Light (Flight Facilities Remix),The C90s ,T6_Bvdc_dFU,2021,Sep,5
From Nowhere (Baardsen Remix),Dan Croll ,6Fna2ZMO9VA,2021,Sep,1
Old Friend,Darlingside ,qMMWFNtKP9I,2021,Sep,1
In the Devil's Territory,Sufjan Stevens ,_AJe17LgrTc,2021,Sep,1
Heat Wave,Snail Mail ,-kbtWBWCJaI,2021,Sep,1
Give In (feat. Ciaran Lavery),Axel Flóvent ,PEaG3DSL_gY,2021,Sep,1
You'll Be on My Mind,Jakob ,8MO5hV6ZtT8,2021,Sep,1
You Deserve This,Men I Trust ,7zJOJPCJSus,2021,Sep,9
Love Again,Meltt ,1SRO1VTIuMs,2021,Sep,7
How Was Your Day? (feat. Clairo),Mellow Fellow ,aX-wZdRYlWE,2021,Sep,7
We're Not Just Friends,"Parks, Squares and Alleys ",UURm6TA_unI,2021,Sep,2
Can I Call You Tonight?,Dayglow ,n-IwmbARwBo,2021,Sep,2
Harvey,Her's ,z86-S122rLU,2021,Sep,2
Bones,Crumb ,r7JWHuGFUeI,2021,Sep,3
Over And Over,Hot Chip ,hl8JLyhgZRE,2021,Sep,1
Pacific Coast Highway,Kavinsky ,jJ3q6EW4-8w,2021,Sep,1
Diamond Veins (feat. Sarah Rebecca) (Kid Francescoli Remix),French 79 ,MyWXr1RbUe8,2021,Sep,1
Nightcall,Kavinsky ,H-iPavAXQUk,2021,Sep,1
First Blood,Kavinsky ,9Ueulv6BugQ,2021,Sep,3
ProtoVision (Boys Noize Remix),Kavinsky ,C0Obs6TqlhY,2021,Sep,1
Blue Bucket of Gold,Sufjan Stevens ,pZC8XHN7cIA,2021,Sep,1
Hot Rod,Dayglow ,-Yz2R0PlHFs,2021,Sep,1
Chicago,Sufjan Stevens ,edpLqHYp4XY,2021,Sep,1
Death with Dignity,Sufjan Stevens ,5fgC_yTVZYo,2021,Sep,2
Lemon Glow,Beach House ,m2PFcYQeeb4,2021,Sep,1
Chelsea,Phoebe Bridgers ,eZZSojd65j0,2021,Sep,1
Wrapped In Piano Strings,Radical Face ,6uEqpOiDSg8,2021,Sep,1
Fourth of July,Sufjan Stevens ,nLnDm8t9Mng,2021,Sep,3
Master of None,Beach House ,kTDiUMMoNQs,2021,Sep,1
Funeral,Phoebe Bridgers ,sDsdLfvmNms,2021,Sep,2
Would You Rather,Phoebe Bridgers ,XAE4Sm1D5OM,2021,Sep,1
Necessary Evil,Unknown Mortal Orchestra ,KltoVVu5a00,2021,Sep,1
Uranus,Sufjan Stevens ,RPQMd8kURRU,2021,Sep,1
To Build A Home,The Cinematic Orchestra ,OAYuMygPkbI,2021,Sep,1
Kyoto,Phoebe Bridgers ,Ubt_qaac_wM,2021,Sep,2
Mercury,Sufjan Stevens ,ZLgLzqq4ySY,2021,Sep,1
Runaway,AURORA ,BRpS93I8_Jk,2021,Sep,2
Motion Sickness,Phoebe Bridgers ,iMr69JihnP4,2021,Sep,7
Shrike,Hozier ,k3lg_Bl0Fsw,2021,Sep,1
Savior Complex,Phoebe Bridgers ,60PwTgPY9vg,2021,Sep,2
The Only Thing,Sufjan Stevens ,2SxIdgrT1ug,2021,Sep,1
K.,Cigarettes After Sex ,bYh28VkDeVM,2021,Sep,5
Sugar,Men I Trust ,uwV2GcDBf7E,2021,Sep,1
Smoke Signals,Phoebe Bridgers ,RmvZoFvxfEU,2021,Sep,2
Exploding Whale (Doveman Remix),Sufjan Stevens ,RIXPrjzG_e8,2021,Sep,1
Selfish Lover,Mild Orange ,2HlIXbAeA3A,2021,Sep,1
Mysight,Mild Orange ,yc4MnVl6MlI,2021,Sep,3
ABQ,The Marías ,IIzYkkny5vs,2021,Sep,5
Bloom,Brahny ,hovb94kIrEk,2021,Sep,1
Clueless,The Marías ,M5W2IZ_aOOA,2021,Sep,5
She Needs Him,Her's ,gi439Wul758,2021,Sep,2
Hot Knifer,Peach Pit ,VYHYyFDbUnA,2021,Sep,1
Don't Think It Over,Her's ,NKhp3wn1BMs,2021,Sep,1
Stay True (feat. Helena),Men I Trust ,HKfkDMb53-o,2021,Sep,1
The Set Up,Favored Nation ,OyHddNCbBfY,2021,Sep,2
Drift,Great Gable ,-JjRf93wKHA,2021,Sep,1
Face to Face,Daft Punk ,qXI87eMP-bs,2021,Sep,1
Lady (Hear Me Tonight),Modjo ,MR3uP7IYz44,2021,Sep,1
Mirror Maru,Cashmere Cat ,5PAij_DsXrU,2021,Sep,1
Colours,Age of Consent ,wKEs2Bo9GmY,2021,Sep,3
Wings,HAERTS ,I-Mq4D8HHN0,2021,Sep,2
Crystal Lake,Teeel ,U2vEf0_zKJk,2021,Sep,1
Tomaso,Turu Anasi ,7ZWA0rSzUDU,2021,Sep,1
jasmine (Demo),Jai Paul ,3CgShbW8XS0,2021,Sep,5
Boogie in Zero Gravity (Extended Version),Black Strobe ,Sv03leLfGFM,2021,Sep,2
Girlfriend,Trevor Something ,rfWGRo5SnO4,2021,Sep,1
No Happy Endings,Tangerine Dream ,ORzkA5ks-GM,2021,Sep,1
Digital Love,Daft Punk ,Smi8vAbm_8o,2021,Sep,1
La Femme - Où va le monde,LaFemmeVEVO,fQDEUU1lyZQ,2021,Sep,1
Clio - Quelqu’un quelque part (Clip officiel),ClioVEVO,YYDLPG-PnTU,2021,Sep,1
Paradis - Toi Et Moi (Official Video),ParadisVEVO,5H4ekRWiW6U,2021,Sep,1
Pomme - Sans toi,PommeOfficialVEVO,Vhr4FcFD6ko,2021,Sep,1
French 79 - Hometown [Official Video],French 79,yAv5pLO37mE,2021,Sep,1
Claire Laffut - Vérité,ClaireLaffutVEVO,tQ3HWIsZXPM,2021,Sep,1
Alice et Moi - C'est toi qu'elle préfère (Clip Officiel),Alice et Moi,zGr0-pQX6JU,2021,Sep,1
CLIO - Amoureuse [CLIP OFFICIEL],Clio,fxeiOe-X6g4,2021,Sep,1
CLIO - T'as vu [CLIP OFFICIEL],Clio,9enP5t05wFU,2021,Sep,1
Steal,Maribou State ,8jiUb_r5IG0,2021,Sep,1
Yours,maye ,MphYLC_w2ug,2021,Sep,2
All Night,Men I Trust ,I4naSX97jJU,2021,Sep,2
Marcel,Her's ,x23mAFDL0o0,2021,Sep,3
Between Days,Far Caspian ,4EzVTg7qx7k,2021,Sep,4
Moody,maye ,IiJ0aXIvOa0,2021,Sep,2
Better For Me,Fake Laugh ,2KAzYYTH2EY,2021,Sep,3
Some Feeling,Mild Orange ,KEum8nUzr-Y,2021,Sep,1
"Honey, There's No Time",Feng Suave ,PEfaZalU7yE,2021,Sep,1
Love/Paranoia,Tame Impala ,7w6E_KTHmUo,2021,Sep,1
Fear,Current Joys ,6MGDw9WU1bs,2021,Sep,2
Colours of Freedom,Tom Misch ,knxVaNPAf9o,2021,Sep,3
Tearing Me Up,Bob Moses ,8ijQlLN328Q,2021,Sep,7
Walkie Talkie,Brijean ,DZt4IWfmd9A,2021,Sep,1
