Playlist ID,Channel ID,Time Created,Time Updated,Title,Description,Visibility
PLRawYnx8J3hLuLUym9HLsgHct3fkT7_Zf,UCleFRYxd-2ZlsDrQpy-1jXw,2021-01-08 02:15:47 UTC,2021-05-16 14:32:16 UTC,My playlist,,Unlisted

Video ID,Time Added
t0KwSrqYmkg,2021-04-07 03:21:00 UTC
PYnF66Ssi-A,2021-03-23 08:25:14 UTC
219pQObZq2I,2021-03-23 08:30:21 UTC
qzNGoiVrXNk,2021-03-31 15:50:06 UTC
N8HRW-840wU,2021-04-04 00:17:26 UTC
QKJGvRiFqFE,2021-04-07 03:20:22 UTC
SlbfAYvA_gI,2021-04-10 13:52:26 UTC
WYABDdnBu0w,2021-04-10 13:52:37 UTC
vY81s1d3_L4,2021-04-11 03:02:13 UTC
0GZ_cpL0-sE,2021-04-11 03:08:03 UTC
R9_OqHC39xY,2021-04-11 03:15:18 UTC
qC81xZHY7mc,2021-04-11 03:16:44 UTC
CMGTms7Pfcg,2021-04-11 03:22:12 UTC
m7E_yiNTBh8,2021-04-11 03:24:02 UTC
y8OtzJtp-EM,2021-04-12 01:50:51 UTC
GMzSDiU_t4c,2021-04-14 13:26:03 UTC
lqjpGgS4OOc,2021-04-14 13:28:00 UTC
JFIoMh3KSaE,2021-04-17 01:40:32 UTC
IC1hMxwbMGg,2021-04-12 02:46:49 UTC
 -rB8fBz6_qQ,2021-04-12 02:47:06 UTC
r6ZiKSNeuCs,2021-04-12 02:47:20 UTC
8eJ7KQBtL_U,2021-04-17 02:10:47 UTC
QxMkT7W37as,2021-04-13 01:52:17 UTC
4wOLVrGHiIU,2021-04-14 13:36:17 UTC
AWukhfiSZVU,2021-04-17 02:11:20 UTC
djTc29pC1nQ,2021-04-18 16:03:27 UTC
IVN_zYqG6VA,2021-04-19 01:12:44 UTC
ojx9Y-vfMIw,2021-04-21 13:40:15 UTC
dgZ_0msKRAE,2021-04-22 02:20:00 UTC
t6WrKU37yAM,2021-04-22 12:50:31 UTC
IJg3r7CLnAE,2021-04-30 02:00:13 UTC
QutKB7tfnxo,2021-04-30 16:07:54 UTC
CQXmGk4x-bo,2021-04-30 16:08:00 UTC
gH_ATGp5As0,2021-04-30 16:12:13 UTC
F8dKVbP1Nzo,2021-05-06 01:25:04 UTC
5Wiio4KoGe8,2021-05-06 07:06:21 UTC
iVLaWnpAoB0,2021-05-07 02:33:31 UTC
PYRobUWKEyo,2021-05-07 02:42:04 UTC
o07x3onx3xw,2021-05-07 02:42:46 UTC
B6i4MqWLCd0,2021-05-12 04:26:48 UTC
K-tudKIvlJA,2021-05-13 10:38:41 UTC
yY4Ck7-tvXA,2021-05-13 14:24:35 UTC
9-0TM3F2gpM,2021-05-13 14:27:42 UTC
LMXz3toWrKg,2021-05-13 17:16:32 UTC
EYZfr7wB4P8,2021-05-14 09:12:01 UTC
2go3FwNMP70,2021-05-16 14:31:27 UTC
5u7brjkC1zU,2021-05-16 14:32:16 UTC

